hand,token,count,share
1,qokeees,2,0.00027498968788670426
1,qoko,2,0.00027498968788670426
1,qokom,2,0.00027498968788670426
1,qol,2,0.00027498968788670426
1,qoos,2,0.00027498968788670426
1,qopchey,2,0.00027498968788670426
1,qopy,2,0.00027498968788670426
1,qotar,2,0.00027498968788670426
1,qotchaiin,2,0.00027498968788670426
1,qotcheaiin,2,0.00027498968788670426
1,qotchod,2,0.00027498968788670426
1,qotchoiin,2,0.00027498968788670426
1,qoteees,2,0.00027498968788670426
1,qoteeey,2,0.00027498968788670426
1,qoteeol,2,0.00027498968788670426
1,qotey,2,0.00027498968788670426
1,qotod,2,0.00027498968788670426
1,qotoeey,2,0.00027498968788670426
1,qotoiin,2,0.00027498968788670426
1,qotshey,2,0.00027498968788670426
1,rchey,2,0.00027498968788670426
1,rchy,2,0.00027498968788670426
1,ro,2,0.00027498968788670426
1,sa,2,0.00027498968788670426
1,sair,2,0.00027498968788670426
1,scheaiin,2,0.00027498968788670426
1,schy,2,0.00027498968788670426
1,sham,2,0.00027498968788670426
1,shcphy,2,0.00027498968788670426
1,shcthey,2,0.00027498968788670426
1,shdy,2,0.00027498968788670426
1,sheos,2,0.00027498968788670426
1,shkaiin,2,0.00027498968788670426
1,shoaiin,2,0.00027498968788670426
1,shodal,2,0.00027498968788670426
1,sholdy,2,0.00027498968788670426
1,sholy,2,0.00027498968788670426
1,shoshy,2,0.00027498968788670426
1,shot,2,0.00027498968788670426
1,shotol,2,0.00027498968788670426
1,shtchy,2,0.00027498968788670426
1,shytchy,2,0.00027498968788670426
1,so,2,0.00027498968788670426
1,sodaiin,2,0.00027498968788670426
1,soiiin,2,0.00027498968788670426
1,sols,2,0.00027498968788670426
1,soshy,2,0.00027498968788670426
1,tchodar,2,0.00027498968788670426
1,tcholol,2,0.00027498968788670426
1,tody,2,0.00027498968788670426
1,torchy,2,0.00027498968788670426
1,tsheody,2,0.00027498968788670426
1,tshor,2,0.00027498968788670426
1,tydy,2,0.00027498968788670426
1,ychain,2,0.00027498968788670426
1,ychekchy,2,0.00027498968788670426
1,ycheol,2,0.00027498968788670426
1,ychody,2,0.00027498968788670426
1,ydal,2,0.00027498968788670426
1,ykair,2,0.00027498968788670426
1,ykal,2,0.00027498968788670426
1,ykcheor,2,0.00027498968788670426
1,ykeor,2,0.00027498968788670426
1,ykody,2,0.00027498968788670426
1,ykshy,2,0.00027498968788670426
1,yor,2,0.00027498968788670426
1,ypchol,2,0.00027498968788670426
1,ytain,2,0.00027498968788670426
1,ytam,2,0.00027498968788670426
1,ytar,2,0.00027498968788670426
1,ytcho,2,0.00027498968788670426
1,ytchoy,2,0.00027498968788670426
1,yteol,2,0.00027498968788670426
1,yto,2,0.00027498968788670426
1,ytsho,2,0.00027498968788670426
1,ytshy,2,0.00027498968788670426
1,aey,1,0.00013749484394335213
1,aiiin,1,0.00013749484394335213
1,aiir,1,0.00013749484394335213
1,aim,1,0.00013749484394335213
1,air,1,0.00013749484394335213
1,alchy,1,0.00013749484394335213
1,aldam,1,0.00013749484394335213
1,alg,1,0.00013749484394335213
1,are,1,0.00013749484394335213
1,arg,1,0.00013749484394335213
1,ary,1,0.00013749484394335213
1,ataiin,1,0.00013749484394335213
1,cfarasr,1,0.00013749484394335213
1,cfhaiin,1,0.00013749484394335213
1,cfham,1,0.00013749484394335213
1,cfheody,1,0.00013749484394335213
1,cfhoaiin,1,0.00013749484394335213
1,cfhodar,1,0.00013749484394335213
