token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
arol,0.0003160639502726052,0.0,0.00028203772254539045,0.0006825938566552901,0.0012315270935960591
arolkeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arolky,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arolor,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arolsas,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arom,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
aror,0.0001580319751363026,0.0,0.00010576414595452142,0.0006825938566552901,0.0
arorochees,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arorsheey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aros,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aroshy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aroteey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arotey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arsheg,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
arshey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
arxor,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ary,0.0006848052255906445,0.0,0.00010576414595452142,0.005233219567690558,0.0
aryly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
as,0.0001580319751363026,0.0,0.00021152829190904283,0.0,0.0
asa,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
asaly,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ataiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ataseos,2.6338662522717095e-05,0.00022753128555176336,0.0,0.0,0.0
ateey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
atey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
atolg,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aty,7.90159875681513e-05,0.0,3.5254715318173806e-05,0.0004550625711035267,0.0
axor,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ay,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
c,0.00021070930018173676,0.0,0.00024678300722721664,0.0,0.0012315270935960591
cckheor,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cckhhy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ceectheey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfarasr,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
cfhaiin,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
cfham,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhar,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
cfhdorol,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
cfhdy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfheey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhekchdy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfheo,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfheody,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfheol,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
cfheos,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhey,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
cfhoaiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhodar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
cfhodoral,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
